Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-21686][2020 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+Redline 93 v400.ptm - Realtime: Stage1+Redline 93 v400.ptm]"
27.279,0.00,-7.81,22.20,0.0,14.21,-8.77,14.07,0.39,12.80,192,1.000,0.00,0.00,371,438,5,2.50,1.09,151,135,5.63,1.22,203,857,0.00,2.83,1.000,5.5,0.00,0
27.339,0.00,-7.81,22.20,0.0,14.21,-8.79,14.07,0.39,12.80,192,1.000,0.00,0.00,404,438,5,2.50,1.10,151,135,5.64,1.22,203,859,0.00,2.83,1.000,5.5,0.00,0
27.407,0.00,-7.81,22.20,0.0,14.21,-8.83,14.07,0.39,12.80,192,1.000,0.00,0.00,384,438,5,2.50,1.29,151,135,5.67,1.22,203,866,0.00,2.84,1.000,5.5,0.00,0
27.463,0.00,-7.81,22.20,0.0,14.21,-8.85,14.07,0.39,12.80,190,1.000,0.00,0.00,371,438,5,2.50,1.30,151,135,5.69,1.22,203,870,0.00,2.83,1.000,5.5,0.00,0
27.527,0.00,-7.81,22.20,0.0,14.21,-8.87,14.07,0.39,12.80,190,1.000,0.00,0.00,391,438,5,2.50,1.30,151,135,5.67,1.22,203,871,0.00,2.84,1.000,5.5,0.00,0
27.582,0.00,-7.81,22.20,0.0,14.21,-8.89,14.07,0.39,12.80,190,1.000,0.00,0.00,393,438,5,2.50,1.30,151,135,5.70,1.22,203,876,0.00,2.84,1.000,5.5,0.00,0
27.657,0.00,-7.81,21.40,0.0,14.21,-8.93,14.07,0.37,12.80,190,1.000,0.00,0.00,374,438,5,2.50,1.30,151,135,5.67,1.22,203,877,0.00,2.88,1.000,5.5,0.00,0
27.699,0.00,-7.81,20.48,0.0,14.21,-8.96,14.07,0.37,12.80,190,1.000,0.00,0.00,396,438,5,2.50,1.31,151,135,5.65,1.20,203,878,0.00,2.89,1.000,5.5,0.00,0
27.773,0.00,-7.81,19.46,0.0,14.21,-8.97,14.07,0.37,12.80,190,1.000,0.00,0.00,390,438,5,2.50,1.31,151,135,5.64,1.20,203,879,0.00,2.89,1.000,5.5,0.00,0
27.826,0.00,-7.81,18.72,0.0,14.21,-9.00,14.07,0.37,12.80,190,1.000,0.00,0.00,383,438,5,2.50,1.12,151,135,5.58,1.20,203,875,0.00,2.95,1.000,5.5,0.00,0
27.882,0.00,-7.81,18.03,0.0,14.21,-9.03,14.07,0.37,12.80,190,1.000,0.00,0.00,394,438,5,2.50,1.12,151,136,5.51,1.20,203,869,0.00,3.02,1.000,5.5,0.00,0
27.967,0.00,-7.81,17.14,0.0,14.21,-9.05,14.07,0.37,12.80,190,1.000,0.00,0.00,381,438,5,3.00,1.11,151,136,5.47,1.20,203,866,0.00,3.05,1.000,5.5,0.00,0
28.023,0.00,-7.81,16.71,0.0,14.21,-9.08,14.07,0.37,12.80,190,1.000,0.00,0.00,388,438,5,2.50,1.11,151,136,5.45,1.20,203,861,0.00,3.10,1.000,5.5,0.00,0
28.079,0.00,-7.81,16.32,0.0,14.21,-9.08,14.07,0.37,12.80,190,1.000,0.00,0.00,375,438,5,2.50,1.10,151,136,5.43,1.22,203,857,0.00,3.12,1.000,5.5,0.00,0
28.151,0.00,-7.81,15.94,0.0,14.21,-9.07,14.07,0.37,12.80,190,1.000,0.00,0.00,384,438,5,2.50,1.10,151,136,5.43,1.22,203,853,0.00,3.13,1.000,5.5,0.00,0
28.202,0.00,-7.81,15.62,0.0,14.21,-9.05,14.07,0.37,12.80,190,1.000,0.00,0.00,367,438,5,2.50,1.09,149,136,5.43,1.22,203,850,0.00,3.15,1.000,5.5,0.00,0
28.273,0.00,-7.81,15.19,0.0,14.21,-9.07,14.07,0.37,12.84,190,1.000,0.00,0.00,386,438,5,2.50,1.09,149,136,5.43,1.20,203,848,0.00,3.16,1.000,5.5,0.00,0
28.326,0.00,-7.81,14.98,0.0,14.21,-9.05,14.07,0.37,12.84,190,1.000,0.00,0.00,372,438,5,2.50,1.08,149,136,5.43,1.20,203,844,0.00,3.17,1.000,5.5,0.00,0
28.379,2.34,-7.81,14.69,0.0,14.21,-9.04,14.07,0.37,14.15,190,1.000,0.00,0.00,371,438,5,2.50,1.26,149,136,5.43,1.22,203,842,0.00,3.18,1.000,5.5,0.00,0
28.453,1.56,-7.81,14.55,0.0,14.21,-9.05,14.07,0.39,14.09,190,1.000,0.00,0.00,384,438,5,2.50,1.26,149,136,5.43,1.22,203,839,0.00,3.21,1.000,5.5,0.00,0
28.506,1.56,-7.81,14.41,0.0,14.21,-9.06,14.07,0.39,14.09,190,1.000,0.00,0.00,374,438,5,2.50,1.08,149,136,5.46,1.22,203,840,0.00,3.18,1.000,5.5,0.00,0
28.564,0.78,-7.81,14.27,0.0,14.21,-9.05,14.07,0.39,14.09,190,1.000,0.00,0.00,382,438,5,2.50,1.08,149,136,5.46,1.20,203,841,0.00,3.19,1.000,5.5,0.00,0
28.619,0.78,-7.81,14.09,0.0,14.21,-9.06,14.07,0.39,14.09,190,1.000,0.00,0.00,369,438,5,2.50,1.08,149,136,5.48,1.20,203,842,0.00,3.20,1.000,5.5,0.00,0
28.693,0.00,-7.81,13.96,0.0,14.21,-9.08,14.07,0.39,14.09,190,1.000,0.00,0.00,390,438,5,2.50,1.08,149,136,5.48,1.20,203,843,0.00,3.20,1.000,5.5,0.00,0
28.756,-0.78,-7.81,13.81,0.0,14.21,-9.07,14.07,0.39,14.09,190,1.000,0.00,0.00,402,438,5,2.50,1.08,149,136,5.46,1.20,203,840,0.00,3.21,1.000,5.5,0.00,0
28.799,-1.56,-7.81,13.62,0.0,14.21,-9.08,14.07,0.39,14.09,190,1.000,0.00,0.00,385,438,5,2.50,1.08,149,136,5.45,1.20,203,839,0.00,3.23,1.000,5.5,0.00,0
28.874,-1.56,-7.81,13.51,0.0,14.21,-9.10,14.07,0.39,14.09,190,1.000,0.00,0.00,374,438,5,2.50,1.07,149,136,5.44,1.20,203,837,0.00,3.24,1.000,5.5,0.00,0
28.931,-2.34,-7.81,13.41,0.0,14.21,-9.10,14.07,0.39,14.09,190,1.000,0.00,0.00,407,438,5,2.00,1.07,149,136,5.42,1.20,203,836,0.00,3.25,1.000,5.5,0.00,0
28.984,-3.12,-7.81,13.31,0.0,14.21,-9.10,14.07,0.39,14.09,190,1.000,0.00,0.00,393,438,5,2.00,1.07,149,136,5.39,1.20,203,832,0.00,3.29,1.000,5.5,0.00,0
29.039,-3.91,-7.81,13.22,0.0,14.21,-9.11,14.07,0.39,14.09,190,1.000,0.00,0.00,378,438,5,2.00,1.06,149,136,5.39,1.20,203,830,0.00,3.30,1.000,5.5,0.00,0
29.099,-4.69,-7.81,13.19,0.0,14.21,-9.10,14.07,0.39,14.09,190,1.000,0.00,0.00,386,438,5,2.00,1.06,149,136,5.39,1.20,203,829,0.00,3.29,1.000,5.5,0.00,0
29.159,-4.69,-7.81,13.11,0.0,14.21,-9.10,14.07,0.39,14.09,190,1.000,0.00,0.00,399,438,5,2.00,1.06,149,136,5.39,1.20,203,829,0.00,3.31,1.000,5.5,0.00,0
29.228,-5.47,-7.81,13.07,0.0,14.21,-9.12,14.07,0.39,14.09,190,1.000,0.00,0.00,386,438,5,2.00,1.06,149,136,5.40,1.20,203,831,0.00,3.30,1.000,5.5,0.00,0
29.294,-5.47,-7.81,13.06,0.0,14.21,-9.14,14.07,0.39,14.09,190,1.000,0.00,0.00,375,438,5,2.00,1.06,149,136,5.39,1.18,203,830,0.00,3.31,1.000,5.5,0.00,0
29.350,-6.25,-7.81,13.02,0.0,14.21,-9.12,14.07,0.39,14.09,190,1.000,0.00,0.00,402,438,5,2.00,0.88,149,136,5.38,1.18,203,829,0.00,3.34,1.000,5.5,0.00,0
29.413,-6.25,-7.81,12.97,0.0,14.21,-9.14,14.07,0.39,14.09,190,1.000,0.00,0.00,398,438,5,2.00,0.88,149,136,5.37,1.18,203,827,0.00,3.34,1.000,5.5,0.00,0
29.470,-7.03,-7.81,12.97,0.0,14.21,-9.14,14.07,0.39,14.09,190,1.000,0.00,0.00,381,438,5,7.00,0.88,149,136,5.41,1.20,203,833,0.00,3.33,1.000,5.5,0.00,0
29.537,-7.03,-7.81,12.97,0.0,14.21,-9.13,14.07,0.39,14.09,190,1.000,0.00,0.00,390,438,5,7.00,0.89,149,136,5.44,1.20,203,837,0.00,3.31,1.000,5.5,0.00,0
29.593,-7.03,-7.81,12.93,0.0,14.21,-9.15,14.07,0.37,14.09,190,1.000,0.00,0.00,396,438,5,7.50,0.90,149,136,5.48,1.18,203,846,0.00,3.29,1.000,5.5,0.00,0
29.649,-7.03,-7.81,12.94,0.0,14.21,-9.18,14.07,0.37,14.15,190,1.000,0.00,0.00,386,438,5,7.50,0.90,149,136,5.50,1.18,203,851,0.00,3.26,1.000,5.5,0.00,0
29.709,-7.81,-7.81,12.96,0.0,14.21,-9.18,14.07,0.37,14.09,190,1.000,0.00,0.00,398,438,5,7.50,0.91,149,136,5.49,1.18,203,855,0.00,3.25,1.000,5.5,0.00,0
29.783,-7.81,-7.81,12.95,0.0,14.21,-9.20,14.07,0.37,14.09,190,1.000,0.00,0.00,379,438,5,7.50,0.91,149,136,5.50,1.18,203,861,0.00,3.24,1.000,5.5,0.00,0
29.836,-8.59,-7.81,12.93,0.0,14.21,-9.25,14.14,0.37,14.15,190,1.000,0.00,0.00,402,438,5,7.50,0.92,149,136,5.49,1.18,203,865,0.00,3.23,0.696,5.5,0.00,0
29.892,-8.59,-7.81,12.98,0.0,14.21,-9.28,14.14,0.37,14.15,190,1.000,0.00,0.00,382,438,5,7.50,0.92,149,136,5.47,1.18,203,868,0.00,3.25,0.499,5.5,0.00,0
29.977,-8.59,-7.81,12.96,0.0,14.21,-9.32,14.14,0.36,14.15,190,1.000,0.00,0.00,398,438,5,7.50,0.93,149,136,5.42,1.18,203,869,0.00,3.28,0.000,5.5,0.00,0
30.029,-8.59,-7.81,12.99,0.0,14.21,-9.35,14.14,0.36,14.15,190,1.000,0.00,0.00,390,438,5,7.50,0.93,149,136,5.39,1.18,203,871,0.00,3.31,0.000,5.5,0.00,0
30.089,-8.59,-7.81,13.02,0.0,14.21,-9.36,14.14,0.36,14.15,190,1.000,0.00,0.00,392,438,5,7.50,0.93,149,136,5.36,1.18,203,872,0.00,3.34,0.000,5.5,0.00,0
30.163,-9.38,-7.81,13.03,0.0,14.21,-9.39,14.14,0.36,14.15,190,1.000,0.00,0.00,400,438,5,7.50,0.93,149,136,5.33,1.16,203,872,0.00,3.36,0.000,5.5,0.00,0
30.221,-9.38,-7.81,13.03,0.0,14.21,-9.42,14.14,0.36,14.15,190,1.000,0.00,0.00,383,438,5,7.50,0.93,149,136,5.29,1.16,203,870,0.00,3.37,0.000,5.5,0.00,0
30.274,-9.38,-7.81,13.07,0.0,14.21,-9.45,14.14,0.36,14.15,190,1.000,0.00,0.00,369,438,5,7.50,0.93,149,136,5.26,1.18,203,870,0.00,3.41,0.000,5.5,0.00,0
30.329,-9.38,-7.81,13.10,0.0,14.21,-9.45,14.14,0.35,14.15,190,1.000,0.00,0.00,399,438,5,7.50,0.93,149,136,5.23,1.18,203,868,0.00,3.45,0.000,5.5,0.00,0
30.402,-9.38,-7.81,13.14,0.0,14.21,-9.47,14.14,0.35,14.20,190,1.000,0.00,0.00,392,438,5,7.50,0.92,149,136,5.21,1.16,203,866,0.00,3.47,0.000,5.5,0.00,0
30.455,-9.38,-7.81,13.14,0.0,14.21,-9.49,14.14,0.35,14.20,190,1.000,0.00,0.00,374,438,5,7.50,0.92,149,136,5.18,1.16,203,863,0.00,3.49,0.000,5.5,0.00,0
30.513,-9.38,-7.81,13.21,0.0,14.21,-9.50,14.14,0.35,14.20,190,1.000,0.00,0.00,377,438,5,7.50,0.92,149,136,5.16,1.18,203,861,0.00,3.52,0.000,5.5,0.00,0
30.573,-9.38,-7.81,13.25,0.0,14.21,-9.48,14.14,0.35,14.20,190,1.000,0.00,0.00,400,438,5,7.50,0.91,149,136,5.13,1.18,203,855,0.00,3.56,0.000,5.5,0.00,0
30.638,-10.16,-7.81,13.25,0.0,14.21,-9.49,14.14,0.35,14.20,192,1.000,0.00,0.00,390,438,5,7.50,0.91,149,136,5.10,1.18,203,850,0.00,3.56,0.000,5.5,0.00,0
30.691,-10.16,-7.81,13.28,0.0,14.21,-9.49,14.14,0.35,14.25,192,1.000,0.00,0.00,377,438,5,7.50,0.91,149,136,5.10,1.16,203,847,0.00,3.58,0.000,5.5,0.00,0
30.750,-10.16,-7.81,13.29,0.0,14.21,-9.46,14.14,0.35,14.20,192,1.000,0.00,0.00,409,438,5,7.50,0.90,149,136,5.08,1.16,203,843,0.00,3.60,0.000,5.5,0.00,0
30.825,-10.16,-7.81,13.31,0.0,14.21,-9.46,14.14,0.36,14.20,192,1.000,0.00,0.00,403,438,0,7.50,0.90,149,136,5.06,1.18,203,837,0.00,3.61,0.000,5.5,0.00,0
30.869,-10.16,-7.81,13.31,0.0,14.21,-9.45,14.14,0.36,14.20,192,1.000,0.00,0.00,391,438,6,7.50,0.89,149,136,5.04,1.18,203,833,0.00,3.63,0.000,5.5,0.00,0
30.943,-10.94,-7.81,13.32,0.0,14.21,-9.42,14.14,0.36,14.20,192,1.000,0.00,0.00,393,438,6,7.00,0.89,149,136,5.02,1.18,203,826,0.00,3.65,0.000,5.5,0.00,0
31.001,-10.94,-7.81,13.33,0.0,14.21,-9.41,14.14,0.36,14.20,190,1.000,0.00,0.00,403,438,6,7.00,0.88,149,136,5.01,1.18,203,821,0.00,3.65,0.000,5.5,0.00,0
31.054,-10.94,-7.81,13.32,0.0,14.21,-9.38,14.14,0.36,14.20,190,1.000,0.00,0.00,395,438,6,7.00,0.87,149,136,4.98,1.18,203,813,0.00,3.66,0.000,5.5,0.00,0
31.109,-10.94,-7.81,13.35,0.0,14.21,-9.35,14.14,0.36,14.20,190,1.000,0.00,0.00,398,438,6,7.00,0.86,149,136,4.98,1.18,203,810,0.00,3.67,0.000,5.5,0.00,0
31.183,-11.72,-7.81,13.34,0.0,14.21,-9.34,14.14,0.36,14.20,190,1.000,0.00,0.00,383,438,6,7.00,0.86,149,136,4.98,1.18,203,806,0.00,3.66,0.000,5.5,0.00,0
31.236,-11.72,-7.81,13.36,0.0,14.21,-9.31,14.14,0.36,14.20,190,1.000,0.00,0.00,384,438,6,7.50,0.85,149,136,4.96,1.18,203,801,0.00,3.67,0.000,5.5,0.00,0
31.293,-11.72,-7.81,13.39,0.0,14.21,-9.28,14.18,0.36,14.70,190,1.000,0.00,0.00,403,438,6,7.00,0.85,149,136,4.97,1.18,203,799,0.00,3.63,0.000,5.5,0.00,0
31.359,-12.50,-7.81,13.37,0.0,14.21,-9.26,14.24,0.37,14.70,190,1.000,0.00,0.00,389,438,6,7.00,0.85,149,136,4.96,1.18,203,793,0.00,3.61,0.000,5.5,0.00,0
31.417,-12.50,-7.81,13.40,0.0,14.21,-9.23,14.30,0.37,14.70,190,1.000,0.00,0.00,397,438,6,7.00,0.85,149,136,4.98,1.18,203,791,0.00,3.58,0.000,5.5,0.00,0
31.472,-13.28,-7.81,13.40,0.0,14.21,-9.21,14.36,0.37,14.70,190,1.000,0.00,0.00,380,438,6,7.00,0.84,149,136,4.99,1.18,203,789,0.00,3.57,0.000,5.5,0.00,0
31.539,-13.28,-7.81,13.42,0.0,14.21,-9.17,14.42,0.37,14.70,190,1.000,0.00,0.00,393,438,6,7.00,0.83,149,136,4.99,1.18,203,783,0.00,3.52,0.000,5.5,0.00,0
31.611,-13.28,-7.81,13.46,0.0,14.21,-9.13,14.48,0.37,14.70,190,1.000,0.00,0.00,398,438,6,6.50,0.83,149,136,5.01,1.18,203,783,0.00,3.50,0.000,5.5,0.00,0
31.665,-14.06,-7.81,13.45,0.0,14.21,-9.10,14.55,0.37,14.70,190,1.000,0.00,0.00,378,438,6,6.50,0.83,149,136,5.02,1.18,203,780,0.00,3.45,0.000,5.5,0.00,0
31.722,-14.06,-7.81,13.49,0.0,14.21,-9.06,14.61,0.37,14.70,190,1.000,0.00,0.00,389,438,6,6.50,0.83,149,136,5.05,1.18,203,782,0.00,3.42,0.000,5.5,0.00,0
31.787,-14.84,-7.81,13.51,0.0,14.21,-9.06,14.67,0.39,14.70,190,1.000,0.00,0.00,377,438,6,6.50,0.84,149,136,5.08,1.18,203,785,0.00,3.41,0.000,5.5,0.00,0
31.843,-14.84,-7.81,13.54,0.0,14.21,-9.04,14.75,0.39,14.64,190,1.000,0.00,0.00,368,438,6,6.50,0.84,147,136,5.07,1.16,203,783,0.00,3.38,0.000,5.5,0.00,0
31.907,-15.62,-7.81,13.58,0.0,14.21,-9.03,14.75,0.37,14.70,190,1.000,0.00,0.00,399,438,6,6.50,0.84,147,136,5.06,1.16,203,784,0.00,3.40,0.000,5.1,0.00,0
31.966,-15.62,-7.81,13.59,0.0,14.21,-9.03,14.75,0.37,14.70,190,1.000,0.00,0.00,387,438,6,6.50,0.84,147,136,5.06,1.16,203,785,0.00,3.38,0.000,5.5,0.00,0
32.019,-15.62,-7.81,13.64,0.0,14.21,-9.02,14.75,0.37,14.70,190,1.000,0.00,0.00,397,438,6,6.50,0.84,147,136,5.05,1.16,203,784,0.00,3.39,0.000,5.1,0.00,0
32.082,-15.62,-7.81,13.66,0.0,14.21,-9.03,14.75,0.37,14.70,190,1.000,0.00,0.00,379,438,6,6.50,0.84,147,136,5.05,1.16,203,786,0.00,3.38,0.000,5.1,0.00,0
32.152,-15.62,-7.81,13.72,0.0,14.21,-9.01,14.75,0.37,14.70,190,1.000,0.00,0.00,383,438,6,6.50,0.84,147,136,5.04,1.16,203,785,0.00,3.37,0.000,5.1,0.00,0
32.205,-15.62,-7.81,13.75,0.0,14.21,-9.03,14.75,0.37,14.70,190,1.000,0.00,0.00,379,438,6,6.50,0.84,147,136,5.04,1.16,203,788,0.00,3.38,0.000,5.1,0.00,0
32.260,-15.62,-7.81,13.80,0.0,14.21,-9.02,14.75,0.37,14.70,190,1.000,0.00,0.00,381,438,6,7.00,0.84,147,136,5.04,1.16,203,789,0.00,3.37,0.000,5.1,0.00,0
32.332,-15.62,-7.81,13.85,0.0,14.21,-9.03,14.75,0.37,14.70,190,1.000,0.00,0.00,393,438,6,7.00,0.84,147,136,5.02,1.16,203,788,0.00,3.40,0.000,5.1,0.00,0
32.385,-15.62,-7.81,13.90,0.0,14.21,-9.04,14.75,0.37,14.70,190,1.000,0.00,0.00,381,438,6,7.00,0.84,147,136,5.03,1.16,203,792,0.00,3.38,0.000,5.1,0.00,0
32.440,-15.62,-7.81,13.95,0.0,14.21,-9.04,14.75,0.37,14.70,190,1.000,0.00,0.00,388,438,6,7.00,0.84,147,136,5.00,1.16,203,790,0.00,3.41,0.000,5.1,0.00,0
32.521,-15.62,-7.81,14.02,0.0,14.21,-9.06,14.75,0.37,14.70,190,1.000,0.00,0.00,394,438,6,7.00,0.84,147,136,4.98,1.16,203,792,0.00,3.42,0.000,5.1,0.00,0
32.574,-15.62,-7.81,14.06,0.0,14.21,-9.08,14.75,0.37,14.70,190,1.000,0.00,0.00,385,438,6,7.00,0.85,147,136,4.97,1.14,203,792,0.00,3.43,0.000,5.1,0.00,0
32.633,-15.62,-7.81,14.09,0.0,14.21,-9.08,14.75,0.37,14.70,190,1.000,0.00,0.00,392,438,6,7.00,0.84,147,136,4.94,1.14,203,790,0.00,3.44,0.000,5.1,0.00,0
32.702,-15.62,-7.81,14.13,0.0,14.21,-9.11,14.75,0.36,14.70,190,1.000,0.00,0.00,376,438,6,7.00,0.84,147,136,4.93,1.14,203,791,0.00,3.46,0.000,5.1,0.00,0
32.755,-15.62,-7.81,14.17,0.0,14.21,-9.10,14.75,0.36,14.70,190,1.000,0.00,0.00,370,438,6,7.00,0.84,147,136,4.91,1.16,203,789,0.00,3.45,0.000,5.1,0.00,0
32.811,-15.62,-7.81,14.20,0.0,14.21,-9.11,14.75,0.36,14.70,190,1.000,0.00,0.00,389,438,6,7.00,0.84,147,136,4.91,1.16,203,787,0.00,3.47,0.000,5.1,0.00,0
32.885,-15.62,-7.81,14.24,0.0,14.21,-9.11,14.75,0.37,14.70,190,1.000,0.00,0.00,377,438,6,6.50,0.84,147,136,4.91,1.16,203,785,0.00,3.46,0.000,5.1,0.00,0
32.951,-15.62,-7.81,14.26,0.0,14.21,-9.12,14.75,0.36,14.70,190,1.000,0.00,0.00,371,438,6,6.50,0.83,147,136,4.86,1.14,203,784,0.00,3.47,0.000,3.9,0.00,0
33.018,-15.62,-7.81,14.30,0.0,14.21,-9.22,14.75,0.35,14.87,190,1.000,0.00,0.00,393,438,6,7.00,0.67,147,136,4.80,1.04,203,808,0.00,3.53,0.000,3.9,0.00,0
33.072,-15.62,-7.81,14.34,0.0,14.21,-9.39,14.75,0.34,14.87,190,1.000,0.00,0.00,385,438,6,6.50,0.71,147,136,4.77,1.00,203,834,0.00,3.56,0.000,3.9,0.00,0
33.137,-15.62,-7.81,14.35,0.0,14.21,-9.54,14.75,0.32,14.87,190,1.000,0.00,0.00,374,438,6,7.00,0.72,147,136,4.75,1.00,203,858,0.00,3.58,0.000,3.9,0.00,0
33.193,-15.62,-7.81,14.39,0.0,14.21,-9.67,14.75,0.32,14.87,190,1.000,0.00,0.00,378,438,6,7.50,0.74,147,136,4.67,1.00,202,872,0.00,3.62,0.000,3.9,0.00,0
33.257,-15.62,-7.81,14.39,0.0,14.21,-9.78,14.75,0.31,14.87,190,1.000,0.00,0.00,397,438,5,7.00,0.75,147,136,4.63,1.02,202,890,0.00,3.65,0.000,3.9,0.00,0
33.312,-15.62,-7.81,14.43,0.0,14.21,-9.91,14.75,0.30,14.82,190,1.000,0.00,0.00,390,438,5,7.50,0.78,147,136,4.60,1.02,202,912,0.00,3.66,0.000,3.9,0.00,0
33.382,-15.62,-7.81,14.45,0.0,14.21,-10.02,14.75,0.28,14.82,190,1.000,0.00,0.00,396,438,5,8.00,0.79,147,136,4.53,1.00,202,926,0.00,3.71,0.000,3.9,0.00,0
33.447,-15.62,-7.81,14.46,0.0,14.21,-10.13,14.75,0.28,14.82,190,1.000,0.00,0.00,396,438,5,8.00,0.60,147,136,4.45,1.02,202,935,0.00,3.76,0.000,3.9,0.00,0
33.502,-15.62,-7.81,14.49,0.0,14.21,-10.23,14.75,0.27,14.82,190,1.000,0.00,0.00,398,438,5,8.50,0.60,147,136,4.38,1.00,202,945,0.00,3.80,0.000,3.9,0.00,0
33.567,-16.41,-7.81,14.49,0.0,14.21,-10.31,14.75,0.26,14.70,190,1.000,0.00,0.00,389,438,5,8.50,0.61,147,136,4.31,1.00,202,953,0.00,3.84,0.000,3.9,0.00,0
33.626,-16.41,-7.81,14.50,0.0,14.21,-10.39,14.75,0.26,14.70,190,1.000,0.00,0.00,391,438,5,8.50,0.61,147,136,4.23,1.00,202,959,0.00,3.86,0.000,3.9,0.00,0
33.683,-16.41,-7.81,14.53,0.0,14.21,-10.46,14.75,0.25,14.70,190,1.000,0.00,0.00,401,438,5,8.50,0.62,147,136,4.14,1.00,202,961,0.00,3.92,0.000,3.9,0.00,0
33.755,-16.41,-7.81,14.53,0.0,14.21,-10.52,14.75,0.25,14.76,190,1.000,0.00,0.00,397,438,5,8.50,0.62,147,136,4.06,1.02,202,962,0.00,3.98,0.000,3.9,0.00,0
33.811,-16.41,-7.81,14.56,0.0,14.21,-10.58,14.75,0.25,14.76,190,1.000,0.00,0.00,406,438,5,8.50,0.62,147,136,3.98,1.00,203,960,0.00,4.05,0.000,3.9,0.00,0
33.864,-16.41,-7.81,14.55,0.0,14.21,-10.62,14.76,0.23,14.76,190,1.000,0.00,0.00,398,438,5,8.50,0.61,147,136,3.90,1.02,203,958,0.00,4.10,0.000,3.9,0.00,0
33.921,-16.41,-7.81,14.56,0.0,14.21,-10.65,14.76,0.23,14.76,190,1.000,0.00,0.00,414,438,5,8.50,0.61,147,136,3.80,1.02,203,953,0.00,4.16,0.000,3.9,0.00,0
33.987,-16.41,-7.81,14.56,0.0,14.21,-10.68,14.76,0.23,14.76,190,1.000,0.00,0.00,414,438,5,8.50,0.61,147,136,3.74,1.00,203,950,0.00,4.23,0.000,3.9,0.00,0
34.042,-16.41,-7.81,14.54,0.0,14.21,-10.70,14.76,0.23,14.93,190,1.000,0.00,0.00,402,438,5,8.50,0.60,147,136,3.66,1.02,203,941,0.00,4.30,0.000,3.9,0.00,0
34.100,-16.41,-7.81,14.54,0.0,14.21,-10.73,14.76,0.22,14.99,190,1.000,0.00,0.00,408,438,5,8.50,0.60,147,136,3.59,1.00,202,932,0.00,4.37,0.000,3.9,0.00,0
34.168,-16.41,-7.81,14.51,0.0,14.21,-10.75,14.76,0.22,14.99,190,1.000,0.00,0.00,397,438,5,8.50,0.59,147,136,3.52,1.00,202,920,0.00,4.42,0.000,3.9,0.00,0
34.221,-16.41,-7.81,14.49,0.0,14.21,-10.75,14.76,0.22,14.99,190,1.000,0.00,0.00,404,438,5,8.00,0.58,147,136,3.44,1.02,202,908,0.00,4.49,0.000,3.9,0.00,0
34.294,-16.41,-7.81,14.50,0.0,14.21,-10.76,14.76,0.22,15.17,190,1.000,0.00,0.00,395,438,5,8.00,0.58,147,136,3.39,1.00,202,893,0.00,4.59,0.000,3.9,0.00,0
34.347,-17.19,-7.81,14.47,0.0,14.21,-10.75,14.76,0.22,15.17,190,1.000,0.00,0.00,403,438,5,8.50,0.37,147,136,3.30,1.00,202,876,0.00,4.69,0.000,3.9,0.00,0
34.402,-17.19,-7.81,14.47,0.0,14.21,-10.76,14.76,0.22,15.17,190,1.000,0.00,0.00,408,438,5,8.00,0.37,147,136,3.24,1.02,202,855,0.00,4.76,0.000,3.9,0.00,0
34.476,-17.19,-7.81,14.45,0.0,14.21,-10.73,14.76,0.22,15.36,190,1.000,0.00,0.00,390,438,5,7.50,0.36,147,136,3.19,1.02,202,834,0.00,4.85,0.000,3.9,0.00,0
34.528,-17.19,-7.81,14.45,0.0,14.21,-10.70,14.76,0.22,15.36,190,1.000,0.00,0.00,398,438,5,7.50,0.35,147,136,3.11,1.02,202,815,0.00,4.96,0.000,3.9,0.00,0
34.583,-17.19,-7.81,14.45,0.0,14.21,-10.67,14.76,0.23,15.49,190,1.000,0.00,0.00,385,438,6,7.00,0.50,147,136,3.03,1.04,202,784,0.00,5.02,0.000,4.3,0.00,0
34.655,-17.19,-7.81,14.44,0.0,14.21,-10.60,14.76,0.23,15.36,190,1.000,0.00,0.00,388,438,6,6.50,0.49,147,136,3.03,1.04,202,768,0.00,4.97,0.000,4.3,0.00,0
34.708,-17.19,-7.81,14.45,0.0,14.21,-10.53,14.76,0.23,15.36,190,1.000,0.00,0.00,385,438,6,6.50,0.48,147,136,3.01,1.06,202,739,0.00,4.90,0.000,4.3,0.00,0
34.762,-17.19,-7.81,14.45,0.0,14.21,-10.43,14.76,0.25,15.24,190,1.000,0.00,0.00,396,438,6,6.50,0.47,147,136,3.04,1.08,202,727,0.00,4.81,0.000,4.7,0.00,0
